user	build	chip	chip_version	inferred_sex	source
276	37	OmniExpress plus	v3	Male	23andMe
3257	37	HTS iSelect HD	v4	Male	23andMe
33	37	OmniExpress plus	v3	Male	23andMe
3227	37	OmniExpress plus	v3	Male	23andMe
3326	37	HTS iSelect HD	v4	Female	23andMe
2920	37	OmniExpress plus	v3	Male	23andMe
2890	37	OmniExpress plus	v3	Male	23andMe
295	37	OmniExpress plus	v3	Male	23andMe
2705	37	OmniExpress			FTDNA
3078	37	HTS iSelect HD	v4	Male	23andMe
2755	37	HTS iSelect HD	v4	Female	23andMe
322	37	OmniExpress plus	v3	Male	23andMe
3304	37	HTS iSelect HD	v4	Male	23andMe
3303	37	OmniExpress			FTDNA
3176	37	HTS iSelect HD	v4	Female	23andMe
2748	37	OmniExpress	v1	Female	AncestryDNA
2971	37	OmniExpress plus	v3	Female	23andMe
3097	37	OmniExpress			FTDNA
3048	37	OmniExpress	v1	Male	AncestryDNA, 23andMe
2891	37	HTS iSelect HD	v4	Male	23andMe
2960	37	HTS iSelect HD	v4	Female	23andMe
2887	37	HTS iSelect HD	v4	Male	23andMe
325	37	OmniExpress plus	v3	Male	23andMe
2794	37	HTS iSelect HD	v4	Male	23andMe
2881	37	OmniExpress plus	v3	Male	23andMe
3069	37	HTS iSelect HD	v4	Male	23andMe
330	37	OmniExpress plus	v3	Male	23andMe
2860	37	HTS iSelect HD	v4	Male	23andMe
3113	37	HTS iSelect HD	v4	Female	23andMe
3170	37	OmniExpress plus	v3	Male	23andMe, 23andMe
3080	37	HTS iSelect HD	v4	Female	23andMe
3068	37	OmniExpress			FTDNA
2746	37			Male	FTDNA
3344	37	OmniExpress plus	v3	Male	23andMe
3340	37	HTS iSelect HD	v4	Male	23andMe
3192	37				23andMe
319	37	OmniExpress plus	v3	Female	23andMe
2759	37	HTS iSelect HD	v4	Male	23andMe
2739	37	OmniExpress plus	v3	Female	23andMe
2797	37	HTS iSelect HD	v4	Male	23andMe
2732	37	OmniExpress			FTDNA
3090	37	HTS iSelect HD	v4	Female	23andMe
3122	37	HTS iSelect HD	v4	Male	23andMe
3216	37	HTS iSelect HD	v4	Female	23andMe
3104	37	OmniExpress plus	v3	Female	23andMe
2983	37	OmniExpress plus	v3	Female	23andMe
3004	37	OmniExpress plus	v3	Male	23andMe
296	37	OmniExpress plus	v3	Male	23andMe
3124	37	OmniExpress	v1	Male	AncestryDNA
279	37	OmniExpress plus	v3	Female	23andMe
2898	37	HTS iSelect HD	v4	Female	23andMe
3185	37	OmniExpress	v1	Female	AncestryDNA
3321	37	HTS iSelect HD	v4	Female	23andMe, 23andMe
3193	37	HTS iSelect HD	v4	Female	23andMe
3108	37	HTS iSelect HD	v4	Male	23andMe
3196	37	HTS iSelect HD	v4	Female	23andMe
3186	37	OmniExpress plus	v3	Male	23andMe
2964	37	HTS iSelect HD	v4	Female	23andMe
2969	37	OmniExpress plus	v3	Female	23andMe
3320	37	OmniExpress plus	v3	Female	23andMe, 23andMe
3158	37	OmniExpress plus	v3	Female	23andMe
2953	37	OmniExpress			FTDNA
3087	37	OmniExpress		Male	FTDNA, 23andMe
2751	37	OmniExpress plus	v3	Male	23andMe
2707	37	OmniExpress plus	v3	Male	23andMe, 23andMe
3046	37	HTS iSelect HD	v4	Female	23andMe
3140	37	HTS iSelect HD	v4	Female	23andMe
2708	37	OmniExpress	v1	Male	AncestryDNA
3357	37	OmniExpress			FTDNA
3015	37	OmniExpress	v1	Male	AncestryDNA, AncestryDNA
2858	37	HTS iSelect HD	v4	Female	23andMe
305	37	OmniExpress plus	v3	Male	23andMe, FTDNA, FTDNA
3082	37	OmniExpress		Male	FTDNA, FTDNA, 23andMe
2740	37	HTS iSelect HD	v4	Male	23andMe
3244	37	HTS iSelect HD	v4	Female	23andMe
3211	37	OmniExpress plus	v3	Male	23andMe
2839	37	OmniExpress			FTDNA
3206	37	OmniExpress plus	v3	Male	23andMe
2901	37	HTS iSelect HD	v4	Male	23andMe
3289	37	HTS iSelect HD	v4	Female	23andMe
3248	37	HTS iSelect HD	v4	Female	23andMe
3025	37	OmniExpress	v1	Female	AncestryDNA
2718	37	OmniExpress plus	v3	Male	23andMe, FTDNA
3137	37	HTS iSelect HD	v4	Female	23andMe
285	37	OmniExpress plus	v3	Male	23andMe
2894	37	OmniExpress	v1	Male	AncestryDNA
3064	37	HTS iSelect HD	v4	Male	23andMe
298	37	OmniExpress plus	v3	Male	23andMe
2702	37	HTS iSelect HD	v4	Male	23andMe
288	37	OmniExpress plus	v3	Female	23andMe, FTDNA, FTDNA
2949	37	HTS iSelect HD	v4	Male	23andMe
3280	37	OmniExpress plus	v3	Female	23andMe
3275	37	HTS iSelect HD	v4	Male	23andMe
2729	37	OmniExpress	v1	Female	AncestryDNA
3050	37	OmniExpress	v1	Male	AncestryDNA
3324	37	HTS iSelect HD	v4	Female	23andMe
2958	37	HTS iSelect HD	v4	Female	23andMe
2715	37	OmniExpress	v1	Female	AncestryDNA
2725	37	HTS iSelect HD	v4	Male	23andMe
3111	37	HTS iSelect HD	v4	Female	23andMe
3364	37	HTS iSelect HD	v4	Female	23andMe
3343	37	OmniExpress plus	v3	Female	23andMe
3018	37	HTS iSelect HD	v4	Male	23andMe
2764	37	HTS iSelect HD	v4	Male	23andMe
3277	37	OmniExpress	v1	Female	AncestryDNA, AncestryDNA
3265	37	HTS iSelect HD	v4	Male	23andMe
3199	37	OmniExpress			FTDNA
2720	37	HTS iSelect HD	v4	Female	23andMe
2907	37	HTS iSelect HD	v4	Male	23andMe
3234	37				23andMe
2841	37	HTS iSelect HD	v4	Female	23andMe
2856	37			Female	vcf
2758	37	HTS iSelect HD	v4	Male	23andMe
2928	37	OmniExpress			FTDNA
3145	37	HTS iSelect HD	v4	Female	23andMe
3167	37	HTS iSelect HD	v4	Male	23andMe
2912	37	HTS iSelect HD	v4	Male	23andMe
294	37	OmniExpress plus	v3	Male	23andMe
2850	37	HTS iSelect HD	v4	Female	23andMe
3130	37			Male	23andMe
3306	37	HTS iSelect HD	v4	Male	23andMe
3301	37	OmniExpress	v1	Female	AncestryDNA
2998	37	HTS iSelect HD	v4	Male	23andMe
2874	37	HTS iSelect HD	v4	Male	23andMe
3034	37	HTS iSelect HD	v4	Female	23andMe
3085	37	OmniExpress plus	v3	Female	23andMe
3129	37			Female	23andMe
2980	37	HTS iSelect HD	v4	Male	23andMe
3043	37	HTS iSelect HD	v4	Male	23andMe
311	37	OmniExpress plus	v3	Female	23andMe
3317	37	HTS iSelect HD	v4	Male	23andMe
2966	37	HTS iSelect HD	v4	Female	23andMe
3197	37	HTS iSelect HD	v4	Male	23andMe
3224	37	OmniExpress			FTDNA
2886	37	HTS iSelect HD	v4	Female	23andMe
2990	37	OmniExpress plus	v3	Male	23andMe
2826	37	HTS iSelect HD	v4	Male	23andMe
3179	37	OmniExpress plus	v3	Female	23andMe
2903	37	HTS iSelect HD	v4	Female	23andMe, 23andMe
user	build	chip	chip_version	inferred_sex	source
3881	37	HTS iSelect HD	v4	Female	23andMe
3569	37	OmniExpress plus	v3	Male	23andMe
3733	37	OmniExpress	v1	Male	AncestryDNA
3667	37	HTS iSelect HD	v4	Male	23andMe
3865	37	HTS iSelect HD	v4	Female	23andMe
3788	37	HTS iSelect HD	v4	Female	23andMe
3883	37	HTS iSelect HD	v4	Female	23andMe
3395	37	OmniExpress plus	v3	Male	23andMe, AncestryDNA, FTDNA
3478	37	HTS iSelect HD	v4	Female	23andMe
337	37	OmniExpress plus	v3	Male	23andMe
3957	37	OmniExpress	v1	Male	AncestryDNA
3422	37	HTS iSelect HD	v4	Female	23andMe
3459	37	OmniExpress	v1	Female	AncestryDNA
3777	37	HTS iSelect HD	v4	Male	23andMe
3853	37	HTS iSelect HD	v4	Male	23andMe
3655	37	HTS iSelect HD	v4	Male	23andMe
3532	37	HTS iSelect HD	v4	Female	23andMe
3747	37	HTS iSelect HD	v4	Female	23andMe
3954	37	HTS iSelect HD	v4	Female	23andMe
3581	37	HTS iSelect HD	v4	Female	23andMe
3912	37	HTS iSelect HD	v4	Female	23andMe
3847	37	HTS iSelect HD	v4	Female	23andMe
3449	37	HTS iSelect HD	v4	Female	23andMe
3598	37	OmniExpress plus	v3	Male	23andMe
3680	37	HTS iSelect HD	v4	Male	23andMe
3730	37	HTS iSelect HD	v4	Male	23andMe
3605	37	OmniExpress plus	v3	Male	23andMe
3905	37	HTS iSelect HD	v4	Female	23andMe
366	37	OmniExpress plus	v3	Male	23andMe
3858	37	OmniExpress	v1	Female	AncestryDNA, AncestryDNA
3643	37	HTS iSelect HD	v4	Female	23andMe
3834	37	HTS iSelect HD	v4	Male	23andMe
3974	37	HTS iSelect HD	v4	Female	23andMe
3394	37	OmniExpress plus	v3	Male	23andMe
3985	37			Male	FTDNA
3494	37	HTS iSelect HD		Male	generic, 23andMe
3923	37	OmniExpress plus	v3	Female	23andMe
3622	37	HTS iSelect HD	v4	Female	23andMe
3381	37	HTS iSelect HD	v4	Male	23andMe, FTDNA
3806	37	HTS iSelect HD	v4	Male	23andMe
3964	37	HTS iSelect HD	v4	Male	23andMe
3375	37	HTS iSelect HD	v4	Female	23andMe
3833	37	OmniExpress	v1	Female	AncestryDNA
3682	37	HTS iSelect HD	v4	Male	23andMe
3882	37	HTS iSelect HD	v4	Male	23andMe
3624	37	OmniExpress	v1	Male	AncestryDNA
3547	37	HTS iSelect HD		Female	generic
339	37	OmniExpress		Male	FTDNA, FTDNA
3799	37	OmniExpress plus	v3	Male	23andMe, 23andMe
3993	37				FTDNA
4012	37				23andMe
3582	37	HTS iSelect HD	v4	Female	23andMe
3486	37	HTS iSelect HD	v4	Female	23andMe
38	37	OmniExpress plus	v3	Male	23andMe
397	37	OmniExpress plus	v3	Male	23andMe
3672	37	OmniExpress	v1	Female	AncestryDNA
3625	37	HTS iSelect HD	v4	Female	23andMe
3952	37	OmniExpress			FTDNA
3971	37	OmniExpress	v1	Female	AncestryDNA
3402	37	HTS iSelect HD	v4	Male	23andMe
368	37	OmniExpress plus	v3	Female	23andMe
3904	37	HTS iSelect HD	v4	Female	23andMe
3644	37	HTS iSelect HD	v4	Female	23andMe
3908	37	HTS iSelect HD	v4	Male	23andMe
3671	37	OmniExpress	v1	Female	AncestryDNA
3934	37	HTS iSelect HD	v4	Male	23andMe
3370	37				23andMe
3543	37	HTS iSelect HD	v4	Male	23andMe
3571	37	OmniExpress	v1	Female	AncestryDNA, FTDNA
347	37	OmniExpress plus	v3	Female	23andMe
345	37	OmniExpress plus	v3	Female	23andMe
36	37			Male	vcf, vcf, 23andMe
3615	37	HTS iSelect HD	v4	Female	23andMe
3766	37	HTS iSelect HD	v4	Male	23andMe
3495	37	HTS iSelect HD	v4	Female	23andMe
3559	37	HTS iSelect HD	v4	Female	23andMe
3987	37	HTS iSelect HD	v4	Male	23andMe
3531	37	OmniExpress plus	v3	Female	23andMe
3786	37	HTS iSelect HD	v4	Male	23andMe
3706	37	OmniExpress plus	v3	Male	23andMe
3626	37	OmniExpress	v1	Female	AncestryDNA
3866	37	HTS iSelect HD	v4	Male	23andMe
3639	37	HTS iSelect HD	v4	Female	23andMe
3689	37	HTS iSelect HD	v4	Female	23andMe
3417	37	OmniExpress plus	v3	Male	23andMe
3468	37	HTS iSelect HD	v4	Male	23andMe
3423	37				23andMe
3802	37	HTS iSelect HD	v4	Male	23andMe
3749	37	HTS iSelect HD	v4	Male	23andMe
3948	37	HTS iSelect HD	v4	Male	23andMe
3540	37	Illumina GSAs	v5	Male	23andMe, 23andMe
3921	37	HTS iSelect HD	v4	Female	23andMe
3404	37	HTS iSelect HD	v4	Male	23andMe
357	37	OmniExpress plus	v3	Male	23andMe
3399	37	HTS iSelect HD	v4	Male	23andMe
3931	37	HTS iSelect HD	v4	Male	23andMe
3393	37	OmniExpress	v1	Female	AncestryDNA
3990	37	HTS iSelect HD	v4	Female	23andMe
3967	37	HTS iSelect HD	v4	Male	23andMe
3988	37	HTS iSelect HD	v4	Female	23andMe
4009	37	HTS iSelect HD	v4	Male	23andMe
3822	37	OmniExpress		Female	MyHeritage, FTDNA
3499	37	HTS iSelect HD	v4	Male	23andMe
349	37	OmniExpress plus	v3	Male	23andMe
3415	37	OmniExpress plus	v3	Male	23andMe
3862	37	HTS iSelect HD	v4	Male	23andMe
3454	37	HTS iSelect HD	v4	Male	23andMe
363	37	OmniExpress plus	v3	Male	23andMe
3782	37	OmniExpress		Female	FTDNA, FTDNA
3595	37	OmniExpress			FTDNA
3660	37	OmniExpress	v1	Female	AncestryDNA
3688	37	OmniExpress	v1	Female	AncestryDNA
3992	37	HTS iSelect HD	v4	Male	23andMe
3998	37				FTDNA
3695	37	HTS iSelect HD	v4	Female	23andMe
3767	37	OmniExpress	v1	Female	AncestryDNA
3642	37	HTS iSelect HD	v4	Male	23andMe
3973	37	HTS iSelect HD	v4	Male	23andMe
4006	37	HTS iSelect HD	v4	Female	23andMe
3448	37	Illumina GSAs	v5	Female	23andMe, FTDNA
3913	37	HTS iSelect HD	v4	Female	23andMe
3397	37	OmniExpress		Male	FTDNA, FTDNA, 23andMe, FTDNA
4010	37				23andMe
3835	37	HTS iSelect HD	v4	Female	23andMe
3751	37	OmniExpress		Male	FTDNA
3935	37	HTS iSelect HD	v4	Male	23andMe
40	37	OmniExpress plus	v3	Male	23andMe
3611	37	HTS iSelect HD	v4	Male	23andMe
380	37	OmniExpress plus	v3	Male	23andMe
3886	37	OmniExpress	v1	Female	AncestryDNA
394	37	OmniExpress plus	v3	Male	23andMe
3922	37	HTS iSelect HD	v4	Female	23andMe
3821	37	HTS iSelect HD	v4	Male	23andMe
341	37	OmniExpress plus	v3	Female	23andMe
3489	37	OmniExpress plus	v3	Female	23andMe
3942	37			Male	23andMe
35	37			Male	vcf, 23andMe
3783	37	HTS iSelect HD	v4	Male	23andMe
3885	37	OmniExpress	v1	Female	AncestryDNA
3724	37	OmniExpress plus	v3	Female	23andMe
3780	37	OmniExpress plus	v3	Female	23andMe
3867	37	HTS iSelect HD	v4	Female	23andMe, 23andMe
3728	37	OmniExpress plus	v3	Male	23andMe
3979	37	HTS iSelect HD	v4	Female	23andMe
user	build	chip	chip_version	inferred_sex	source
4212	37	HTS iSelect HD	v4	Male	23andMe
4614	37	OmniExpress	v1	Male	AncestryDNA
4460	37	OmniExpress	v1	Female	AncestryDNA
4652	37	OmniExpress			FTDNA
466	37	OmniExpress plus	v3	Male	23andMe
4304	37	OmniExpress	v1	Male	AncestryDNA
4130	37	HTS iSelect HD	v4	Female	23andMe
4372	37	HTS iSelect HD	v4	Male	23andMe
4605	37	HTS iSelect HD	v4	Male	23andMe
4018	37	HTS iSelect HD	v4	Female	23andMe
4021	37	OmniExpress	v1	Male	AncestryDNA
4585	37	OmniExpress			FTDNA
440	37	OmniExpress plus	v3	Male	23andMe
4030	37	HTS iSelect HD	v4	Male	23andMe, 23andMe
4604	37	OmniExpress	v1	Male	AncestryDNA
4258	37	HTS iSelect HD	v4	Male	23andMe
4056	37	HTS iSelect HD	v4	Male	23andMe
4207	37	OmniExpress	v1	Male	AncestryDNA
4547	37	HTS iSelect HD	v4	Female	23andMe
4251	37	HTS iSelect HD	v4	Female	23andMe
4267	37	HTS iSelect HD	v4	Male	23andMe
4351	37	HTS iSelect HD	v4	Female	23andMe
4159	37	HTS iSelect HD	v4	Female	23andMe
4468	37	OmniExpress	v1	Female	AncestryDNA
4490	37	HTS iSelect HD	v4	Male	23andMe, 23andMe
4346	37	HTS iSelect HD	v4	Male	23andMe
4546	37				FTDNA
4438	37	OmniExpress plus	v3	Female	23andMe
4179	37				23andMe
4241	37	HTS iSelect HD	v4	Female	23andMe
4569	37	OmniExpress plus	v3	Male	23andMe
4483	37	HTS iSelect HD	v4	Female	23andMe
4036	37	HTS iSelect HD	v4	Male	23andMe
4552	37	OmniExpress	v1	Male	AncestryDNA
4580	37	HTS iSelect HD	v4	Female	23andMe
441	37	OmniExpress plus	v3	Male	23andMe
4297	37	OmniExpress	v1	Male	AncestryDNA
4067	37	HTS iSelect HD	v4	Female	23andMe
4430	37	OmniExpress	v1	Male	AncestryDNA
4643	37	HTS iSelect HD	v4	Female	23andMe
4646	37	OmniExpress plus	v3	Female	23andMe
4171	37	OmniExpress plus	v3	Male	23andMe, 23andMe
4638	37	OmniExpress	v1	Female	AncestryDNA
4359	37	HTS iSelect HD	v4	Female	23andMe
4032	37	HTS iSelect HD	v4	Male	23andMe
4428	37	HTS iSelect HD	v4	Female	23andMe
4029	37	HTS iSelect HD	v4	Male	23andMe
4532	37	HTS iSelect HD	v4	Female	23andMe, FTDNA, FTDNA
4498	37	OmniExpress plus	v3	Male	23andMe
4509	37	HTS iSelect HD	v4	Male	23andMe
4290	37	HTS iSelect HD	v4	Male	23andMe
4343	37				23andMe
4425	37	OmniExpress	v1	Male	AncestryDNA
4502	37	OmniExpress	v1	Male	AncestryDNA
4342	37	OmniExpress plus	v3	Male	23andMe
4507	37	HTS iSelect HD	v4	Male	23andMe
4170	37				23andMe
437	37	OmniExpress plus	v3	Male	23andMe
4482	37	HTS iSelect HD	v4	Male	23andMe
4191	37	HTS iSelect HD	v4	Male	23andMe
4095	37	HTS iSelect HD	v4	Female	23andMe
4587	37	OmniExpress plus	v3	Female	23andMe
4613	37				FTDNA
4584	37	OmniExpress		Male	FTDNA
4042	37	OmniExpress	v1	Male	AncestryDNA
4356	37	HTS iSelect HD	v4	Female	23andMe
42	37			Male	vcf, 23andMe, vcf, AncestryDNA, FTDNA
4641	37	OmniExpress	v1	Female	AncestryDNA
4648	37	HTS iSelect HD	v4	Female	23andMe
4173	37	HTS iSelect HD	v4	Male	23andMe
429	37	OmniExpress	v1	Male	AncestryDNA, 23andMe
4568	37	OmniExpress	v1	Female	AncestryDNA
4084	37			Male	23andMe
4632	37	HTS iSelect HD	v4	Female	23andMe
4111	37	OmniExpress	v1	Female	AncestryDNA
4066	37	HTS iSelect HD	v4	Male	23andMe
4248	37	OmniExpress plus	v3	Male	23andMe
4320	37	HTS iSelect HD	v4	Male	23andMe
4230	37	OmniExpress plus	v3	Male	23andMe
4213	37	OmniExpress			FTDNA
4180	37	HTS iSelect HD	v4	Female	23andMe
4041	37	OmniExpress	v1	Female	AncestryDNA
439	37	OmniExpress plus	v3	Male	23andMe
4215	37	HTS iSelect HD	v4	Male	23andMe
4133	37	OmniExpress	v1	Female	AncestryDNA
4381	37	OmniExpress plus	v3	Male	23andMe
4176	37	OmniExpress	v1	Female	AncestryDNA
4667	37	OmniExpress		Male	FTDNA, FTDNA
4441	37	HTS iSelect HD	v4	Female	23andMe
4583	37	OmniExpress		Male	FTDNA
4178	37	HTS iSelect HD	v4	Male	23andMe, 23andMe
4195	37	OmniExpress plus	v3	Male	23andMe
4057	37	HTS iSelect HD	v4	Male	23andMe
463	37	OmniExpress plus	v3	Male	23andMe
4295	37	HTS iSelect HD	v4	Male	23andMe
4360	37	OmniExpress			FTDNA
4538	37	OmniExpress	v1	Male	AncestryDNA
4065	37	HTS iSelect HD	v4	Male	23andMe
4369	37	OmniExpress			FTDNA
4064	37	OmniExpress	v1	Female	AncestryDNA
4539	37	HTS iSelect HD	v4	Male	23andMe
420	37	OmniExpress plus	v3	Male	23andMe
4621	37	HTS iSelect HD	v4	Male	23andMe
4549	37	HTS iSelect HD	v4	Male	23andMe
4252	37	OmniExpress	v1	Male	AncestryDNA
4235	37	OmniExpress	v1	Female	AncestryDNA
4602	37	OmniExpress	v1	Male	AncestryDNA
4106	37	HTS iSelect HD	v4	Female	23andMe
4143	37	HTS iSelect HD	v4	Male	23andMe
4034	37	HTS iSelect HD	v4	Male	23andMe
4181	37	HTS iSelect HD	v4	Male	23andMe
4245	37	HTS iSelect HD	v4	Female	23andMe
4440	37	OmniExpress	v1	Male	AncestryDNA
4224	37	OmniExpress	v1	Female	AncestryDNA
4644	37	OmniExpress			FTDNA
4026	37				FTDNA
44	37	OmniExpress plus	v3	Male	23andMe
4412	37	OmniExpress	v1	Female	AncestryDNA
4292	37				23andMe
4411	37	OmniExpress plus	v3	Female	23andMe
4597	37	OmniExpress	v1	Male	AncestryDNA
4135	37	OmniExpress		Male	FTDNA, FTDNA
411	37	OmniExpress plus	v3	Male	23andMe
4594	37	OmniExpress plus	v3	Male	23andMe
4463	37	HTS iSelect HD	v4	Female	23andMe
4194	37	OmniExpress plus	v3	Female	23andMe
4598	37	OmniExpress	v1	Male	AncestryDNA
4055	37	HTS iSelect HD	v4	Female	23andMe
4499	37	HTS iSelect HD	v4	Female	23andMe
4185	37	HTS iSelect HD	v4	Female	23andMe
4200	37	OmniExpress plus	v3	Male	23andMe
4204	37	OmniExpress	v1	Female	AncestryDNA
4127	37	HTS iSelect HD	v4	Female	23andMe
4147	37	HTS iSelect HD	v4	Female	23andMe
4048	37	OmniExpress plus	v3	Female	23andMe
4080	37	HTS iSelect HD	v4	Male	23andMe
4522	37	OmniExpress	v1	Female	AncestryDNA
4577	37			Male	23andMe, 23andMe
4558	37	OmniExpress plus	v3	Male	23andMe, 23andMe
4654	37	OmniExpress	v1	Female	AncestryDNA
4500	37	OmniExpress plus	v3	Male	23andMe
4555	37	OmniExpress	v1	Female	AncestryDNA
4198	37	OmniExpress			FTDNA
4240	37	OmniExpress plus	v3	Female	23andMe
4399	37	HTS iSelect HD	v4	Female	23andMe
4301	37	OmniExpress plus	v3	Male	23andMe
user	build	chip	chip_version	inferred_sex	source
483	37	OmniExpress plus	v3	Female	23andMe
5213	37			Female	GenesForGood, vcf
5233	37	HTS iSelect HD	v4	Female	23andMe
4738	37	OmniExpress			FTDNA
4990	37	HTS iSelect HD	v4	Female	23andMe
5301	37	OmniExpress		Male	FTDNA, FTDNA, FTDNA, FTDNA
5098	37	OmniExpress plus	v3	Female	23andMe
4851	37	HTS iSelect HD	v4	Male	23andMe
5185	37	HTS iSelect HD	v4	Male	23andMe
5027	37			Male	AncestryDNA
500	37	OmniExpress plus	v3	Male	23andMe
488	37	OmniExpress plus	v3	Male	23andMe, vcf
4796	37	OmniExpress	v1	Female	AncestryDNA
5326	37	HTS iSelect HD	v4	Male	23andMe
5236	37	HTS iSelect HD	v4	Female	23andMe
528	37	OmniExpress plus	v3	Male	23andMe
468	37	OmniExpress plus	v3	Female	23andMe
5172	37	HTS iSelect HD	v4	Male	23andMe, 23andMe
5284	37	HTS iSelect HD	v4	Female	23andMe
5164	37			Male	AncestryDNA, 23andMe
5180	37	HTS iSelect HD	v4	Male	23andMe
5130	37	HTS iSelect HD	v4	Female	23andMe
5218	37	HTS iSelect HD	v4	Female	23andMe
4954	37	OmniExpress	v1	Male	AncestryDNA
5226	37	HTS iSelect HD	v4	Female	23andMe, 23andMe, 23andMe
5323	37	HTS iSelect HD	v4	Female	23andMe
5066	37			Male	AncestryDNA
4801	37	HTS iSelect HD	v4	Male	23andMe
5170	37	OmniExpress	v1	Male	AncestryDNA
5154	37			Male	AncestryDNA
4895	37	HTS iSelect HD	v4	Female	23andMe
5283	37	OmniExpress			FTDNA
4941	37			Male	23andMe
4735	37	OmniExpress plus	v3	Female	23andMe
4889	37	HTS iSelect HD	v4	Male	23andMe
5145	37	HTS iSelect HD	v4	Female	23andMe
4712	37	HTS iSelect HD	v4	Male	23andMe
5049	37	HTS iSelect HD	v4	Male	23andMe
5169	37			Female	AncestryDNA
4671	37	HTS iSelect HD	v4	Male	23andMe
4797	37	HTS iSelect HD	v4	Male	23andMe
4814	37	OmniExpress plus	v3	Female	23andMe
5190	37	HTS iSelect HD	v4	Female	23andMe
4679	37	HTS iSelect HD	v4	Male	23andMe
4928	37	OmniExpress	v1	Male	AncestryDNA
4859	37	HTS iSelect HD	v4	Male	23andMe
5034	37	OmniExpress	v1	Female	AncestryDNA
5107	37			Female	AncestryDNA, 23andMe
4897	37	HTS iSelect HD	v4	Male	23andMe
4947	37	OmniExpress			FTDNA
497	37	OmniExpress plus	v3	Male	23andMe
4983	37	OmniExpress plus	v3	Male	23andMe
5310	37	HTS iSelect HD	v4	Female	23andMe
4939	37	OmniExpress	v1	Female	AncestryDNA
4832	37	OmniExpress			FTDNA
5192	37			Female	vcf
5241	37	OmniExpress	v1	Female	AncestryDNA
4672	37	HTS iSelect HD	v4	Male	23andMe
5221	37			Male	AncestryDNA
4962	37	HTS iSelect HD	v4	Female	23andMe
481	37	OmniExpress plus	v3	Male	23andMe
5099	37	OmniExpress	v1	Female	AncestryDNA
4758	37	HTS iSelect HD	v4	Male	23andMe
4831	37	HTS iSelect HD	v4	Female	23andMe
4693	37	HTS iSelect HD	v4	Female	23andMe
5342	37	HTS iSelect HD	v4	Female	23andMe
5235	37	OmniExpress plus	v3	Male	23andMe, AncestryDNA
5237	37	OmniExpress		Male	FTDNA, FTDNA
5073	37	HTS iSelect HD	v4	Female	23andMe
5144	37	HTS iSelect HD	v4	Female	23andMe
502	37	OmniExpress plus	v3	Female	23andMe
5195	37	OmniExpress plus	v3	Female	23andMe
5278	37	OmniExpress	v1	Female	AncestryDNA
4985	37	HTS iSelect HD	v4	Female	23andMe
495	37	OmniExpress plus	v3	Female	23andMe
5044	37	OmniExpress plus	v3	Female	23andMe
503	37	OmniExpress plus	v3	Female	23andMe
5168	37	HTS iSelect HD	v4	Female	23andMe
4999	37	HTS iSelect HD	v4	Female	23andMe
4864	37	OmniExpress	v1	Female	AncestryDNA, FTDNA
5302	37	OmniExpress plus	v3	Female	23andMe
5207	37	HTS iSelect HD	v4	Male	23andMe
4694	37	HTS iSelect HD	v4	Female	23andMe
5246	37	HTS iSelect HD	v4	Male	23andMe
4813	37	HTS iSelect HD	v4	Female	23andMe
4927	37	HTS iSelect HD	v4	Male	23andMe
5103	37	OmniExpress	v1	Female	AncestryDNA
5332	37	HTS iSelect HD	v4	Male	23andMe
4754	37	OmniExpress			FTDNA
473	37	OmniExpress plus	v3	Male	23andMe
4834	37	OmniExpress	v1	Female	AncestryDNA
5206	37	HTS iSelect HD	v4	Male	23andMe
4697	37	HTS iSelect HD	v4	Female	23andMe
5167	37	HTS iSelect HD	v4	Female	23andMe
5276	37	HTS iSelect HD	v4	Female	23andMe
5182	37	HTS iSelect HD	v4	Female	23andMe
4880	37	OmniExpress			FTDNA
5257	37	HTS iSelect HD	v4	Female	23andMe
4879	37	HTS iSelect HD	v4	Female	23andMe
4696	37	OmniExpress		Female	FTDNA
4825	37	HTS iSelect HD	v4	Male	23andMe
5146	37	HTS iSelect HD	v4	Male	23andMe
5155	37	HTS iSelect HD	v4	Male	23andMe
512	37			Female	23andMe
5249	37			Female	AncestryDNA, 23andMe
4784	37	OmniExpress plus	v3	Female	23andMe
5275	37	OmniExpress			FTDNA
4703	37	HTS iSelect HD	v4	Female	23andMe
5263	37	HTS iSelect HD	v4	Male	23andMe
4715	37	HTS iSelect HD	v4	Male	23andMe
5199	37	OmniExpress	v1	Male	AncestryDNA
4952	37				23andMe
533	37	OmniExpress plus	v3	Male	23andMe
4943	37	HTS iSelect HD	v4	Female	23andMe
5048	37	HTS iSelect HD	v4	Female	23andMe
4756	37	HTS iSelect HD	v4	Male	23andMe
4833	37	HTS iSelect HD	v4	Male	23andMe
4935	37	HTS iSelect HD	v4	Male	23andMe
5024	37	OmniExpress		Female	FTDNA
5041	37			Male	AncestryDNA
5267	37	OmniExpress	v1	Female	AncestryDNA, AncestryDNA, AncestryDNA
4732	37	OmniExpress	v1	Female	AncestryDNA, AncestryDNA
5105	37	HTS iSelect HD	v4	Female	23andMe
4705	37			Female	FTDNA
4917	37	OmniExpress			FTDNA
5274	37	HTS iSelect HD	v4	Male	23andMe
5330	37			Female	AncestryDNA, 23andMe
4718	37	HTS iSelect HD	v4	Female	23andMe
4996	37			Female	AncestryDNA
4695	37	OmniExpress plus	v3	Male	23andMe
